order_id,product_id,quantity
7891,52,1
5821,3,2
5556,77,3
3816,135,1
6280,70,3
1552,70,3
4722,162,3
4872,96,3
1303,16,4
2633,136,3
7904,149,1
2533,121,3
7714,11,1
1269,50,1
1774,87,2
3090,6,1
7021,110,1
3628,143,2
1167,139,3
2549,155,4
1551,173,2
2141,166,4
5503,4,3
6009,173,3
6423,138,4
5847,121,4
3521,182,1
7929,157,3
7126,140,2
3655,184,2
621,168,3
5408,84,4
2524,165,4
7026,194,2
4768,20,4
4897,12,2
171,38,1
5645,158,1
2420,47,1
2780,82,3
1417,74,4
6078,199,1
6329,42,2
7678,5,1
7600,176,4
939,115,2
4931,127,1
6353,99,4
7138,103,2
6944,179,1
6143,140,1
7497,138,4
5481,37,1
2032,125,4
7612,66,1
5561,67,2
6513,14,1
3178,47,3
2772,148,1
7493,109,4
5352,113,1
5101,180,3
3797,68,2
2885,115,3
1732,26,2
1273,47,3
5437,73,3
6408,3,3
1753,130,2
7671,169,1
7431,30,4
1957,165,1
6826,3,3
3488,9,2
5009,8,2
1692,9,1
4166,120,2
1258,145,2
432,152,3
5174,200,2
4266,142,2
2084,182,3
3906,80,1
6047,18,4
6081,167,4
4355,116,4
2299,175,1
6157,27,2
6815,92,3
6685,71,1
2105,34,4
5100,103,2
1185,147,4
437,134,4
6922,158,4
4326,92,1
4927,140,2
4937,143,4
5313,109,1
4716,167,3
6501,103,3
2400,64,1
7009,64,3
5378,15,4
622,186,1
3714,100,1
635,67,3
3013,1,2
1994,7,3
2676,137,4
5862,1,2
2341,5,2
1410,47,4
3817,100,2
829,10,1
2282,2,2
7464,23,2
5823,103,3
537,184,1
1403,147,4
7846,166,1
805,47,2
6133,84,3
3282,180,4
6683,49,4
852,199,2
2226,151,1
556,50,3
3144,17,1
7676,48,1
5342,121,4
5044,2,1
6967,197,1
4324,190,4
1865,85,4
7401,13,1
7436,61,4
6030,11,3
4350,97,3
6819,27,1
6150,35,2
2095,18,4
3479,68,2
2931,189,4
2628,41,4
254,96,1
3521,171,3
59,177,2
7561,139,3
3703,67,3
1722,179,2
2608,52,4
5111,119,2
5311,85,3
265,171,2
1708,186,1
5678,70,4
3215,157,4
2294,159,2
3288,28,4
2485,107,4
2736,178,3
2524,36,3
3456,92,4
938,147,4
878,195,3
2705,12,4
547,76,4
2463,24,3
3204,65,3
7984,92,3
4494,80,1
3579,149,3
7321,98,4
6136,26,3
7982,118,1
3632,163,3
2216,80,3
7858,58,1
3847,170,2
5727,157,2
5948,157,3
6947,137,2
230,78,2
4799,121,4
1428,72,4
6288,2,4
1700,2,1
5651,111,2
3970,146,3
6212,69,1
3066,122,2
2146,185,3
7,199,1
6959,151,4
4273,19,3
1230,19,4
4395,186,2
1824,112,3
3985,177,4
2277,173,4
2944,28,2
631,75,2
270,50,2
4177,139,2
5792,55,2
7356,137,1
3772,142,4
4916,113,2
501,149,4
6850,48,1
5607,58,3
7940,197,4
5608,137,4
5086,195,4
5598,18,3
2751,12,1
1313,124,4
2154,16,1
4737,165,4
609,148,4
3044,20,4
5105,143,3
5696,25,1
1664,145,1
3295,12,2
5925,109,4
1998,170,3
2430,39,4
6982,184,1
6023,181,1
4200,71,4
2712,200,1
3186,47,4
1532,25,4
6084,178,2
5175,118,3
4217,33,3
7385,29,1
3707,3,1
3075,39,2
7260,4,1
4503,165,1
676,95,4
6585,134,2
1655,138,4
4528,12,4
5005,118,1
4157,66,4
6870,131,3
3545,193,3
5367,64,3
3819,35,2
7083,152,2
7013,175,3
3444,112,3
7457,52,4
5710,34,2
1048,84,1
2454,80,1
1332,111,2
4083,153,4
2661,197,3
7540,157,4
7931,92,4
7803,192,2
2263,181,3
4358,186,2
7059,41,2
7514,87,4
5533,51,2
6267,126,2
764,146,2
2368,41,2
3409,99,4
6302,189,3
7495,107,3
1685,24,4
5185,47,1
4465,28,2
870,36,4
5124,21,1
2734,184,1
7816,69,2
914,154,4
5876,182,2
3132,44,1
7213,161,1
6728,154,2
1631,121,2
543,150,2
2204,148,3
2936,2,4
752,41,4
2112,54,4
421,185,1
2371,146,4
7277,133,4
1487,46,1
5700,75,1
547,149,3
6395,150,1
4962,3,2
2558,9,3
1572,2,1
6585,28,4
454,34,3
2692,181,3
6961,59,4
1758,10,4
4775,83,4
4370,93,2
60,2,3
4438,48,2
1418,134,2
2161,44,4
7389,182,1
5911,199,2
6212,36,1
1339,136,1
467,83,4
7002,10,1
2311,161,2
7949,102,1
7299,93,2
2472,19,4
7435,18,2
720,115,1
1236,179,2
563,23,1
983,129,1
2967,59,4
2336,107,1
4521,131,3
4650,10,2
4855,123,3
1731,199,3
4340,49,2
7880,56,4
7801,90,2
3048,144,4
1358,39,1
2376,109,3
2763,96,2
5226,44,1
1786,8,2
6007,136,2
1963,45,1
6945,139,2
7247,97,1
1189,153,3
5966,17,1
2679,83,2
6106,183,3
5177,79,3
5056,56,1
3008,44,4
5308,53,1
3124,163,4
3144,39,1
2801,130,3
324,98,1
3684,25,4
7506,166,2
2203,196,4
6203,80,3
7443,32,1
1795,79,3
2249,78,2
2343,169,2
3394,79,2
3401,71,1
1976,7,4
5510,200,1
3046,18,3
1308,17,1
7344,117,3
6754,104,1
6493,77,4
1456,59,2
963,11,1
1718,125,4
2430,51,1
5392,7,1
2540,155,2
3619,187,3
2379,37,4
875,5,1
3671,62,2
2206,200,1
4528,74,1
7493,90,2
1140,79,1
3592,55,1
4715,144,4
4715,92,4
2674,74,4
4531,56,1
1546,179,1
2844,196,4
5028,174,1
4668,61,2
266,104,2
7566,117,1
102,78,1
7231,33,3
7141,55,2
7855,18,1
2757,140,3
7159,74,2
6968,21,3
3974,97,4
1535,154,3
2270,149,4
2963,150,1
2484,183,1
1214,46,2
4736,41,3
2993,5,3
4430,44,1
907,144,2
1582,163,1
1605,5,2
7469,62,3
6495,90,4
5996,26,2
570,61,3
6872,179,2
6259,69,4
1546,184,4
909,50,1
4463,125,4
4084,36,4
3341,152,1
6948,30,4
7254,69,1
7040,176,2
7113,22,3
2426,33,1
3219,69,2
7156,96,4
2166,50,2
1014,23,1
3207,138,1
6671,164,1
1873,114,1
4910,17,2
206,181,3
7401,91,3
816,136,2
66,172,3
4046,189,4
2052,122,2
3,134,2
7427,71,2
5835,90,3
325,165,2
5360,54,2
6135,23,1
605,185,1
4892,51,3
2583,58,1
5918,147,4
7486,155,1
2647,25,1
3123,149,2
7977,123,4
7638,25,4
6976,125,1
3115,179,3
3276,71,2
347,35,3
5178,70,3
4155,104,3
2728,178,4
5806,143,3
2559,152,3
3390,49,4
7601,68,1
3444,7,4
2255,94,4
111,128,1
23,81,3
5548,182,3
3817,38,1
1964,94,3
4883,45,1
1708,103,4
3083,137,3
6716,55,3
6054,52,2
3816,111,3
747,49,2
515,183,3
6288,70,2
3040,111,1
5862,131,3
7689,68,1
2857,101,2
2342,38,2
325,198,2
6337,49,2
3363,92,4
7807,8,1
3491,116,2
2508,95,3
6116,173,2
5168,29,1
3179,79,4
7432,177,1
3325,24,3
1563,149,4
1545,113,1
5852,23,2
3230,95,3
526,156,3
5015,160,4
6173,150,1
4634,190,3
1750,67,4
6287,118,2
4723,73,2
841,6,4
2266,65,1
4689,22,2
713,179,2
67,196,4
761,109,1
6288,116,2
5261,185,1
5466,200,4
465,55,1
4192,170,1
4504,180,3
3190,189,2
5950,19,2
7865,108,2
4900,129,1
1468,169,4
4853,191,1
6102,48,2
7548,160,2
2761,178,2
6422,142,2
4457,17,4
1394,96,3
3694,30,1
4308,121,4
5379,111,3
1700,179,2
1121,98,4
5330,190,4
1572,152,4
4874,120,1
7780,191,3
6165,142,3
729,34,1
3505,187,3
616,111,2
371,193,4
3465,86,3
6768,161,3
5339,108,4
5624,118,2
4728,111,2
4857,58,3
4943,18,2
948,111,1
1120,103,4
1456,140,4
6332,194,1
2549,130,2
7020,198,2
2423,28,4
6578,120,1
7591,123,1
5264,42,4
3612,3,3
2547,176,4
6150,87,3
1341,141,3
3846,57,3
5350,131,4
7290,114,1
1519,191,1
5826,38,1
6761,59,4
1960,28,4
711,26,2
4571,84,4
574,91,1
2844,65,2
508,74,4
6736,61,4
2223,185,4
7689,1,2
4788,160,2
1295,32,3
1698,155,2
788,141,1
3790,17,1
4668,156,4
2234,89,1
587,52,1
3166,114,1
3651,164,1
4610,47,2
3250,194,1
2702,160,4
6072,32,2
4037,198,3
556,95,1
1710,123,3
3976,183,3
4391,107,4
7399,128,3
3308,80,1
5213,89,4
1511,40,4
6188,28,2
2587,81,4
5904,31,3
3547,119,1
6183,87,2
7553,31,3
4077,154,4
3507,4,1
6079,107,4
6433,107,2
4344,107,2
3634,186,1
2407,117,3
1462,79,1
5915,23,3
6353,197,1
2172,105,2
5071,188,2
5974,171,4
7929,154,2
403,195,4
284,116,2
6807,196,2
6720,55,4
6116,175,1
241,187,1
4263,144,1
5872,58,3
4657,107,3
7867,1,2
2196,127,2
701,173,2
2671,94,4
1920,134,3
4361,52,3
2549,19,1
2327,102,3
2797,171,4
7047,19,4
2207,39,4
