order_id,customer_id,order_date,order_amount,payment_method
1,1184,2024-05-01,10522,Card
2,240,2024-02-18,11495,Card
3,1987,2024-10-30,3357,UPI
4,1447,2024-04-24,9826,Card
5,2584,2024-12-08,17540,Card
6,1750,2024-09-07,12026,Card
7,2118,2024-01-07,12295,COD
8,1904,2024-08-06,13767,Card
9,2264,2024-03-17,8084,UPI
10,1078,2024-06-27,2155,COD
11,2854,2024-05-24,10404,UPI
12,2378,2024-06-02,5191,Card
13,848,2024-04-30,4265,Card
14,1312,2024-05-03,16267,Card
15,2093,2024-05-29,13963,COD
16,2877,2024-09-24,19387,Card
17,2246,2024-11-22,12295,UPI
18,1240,2024-01-01,17608,COD
19,1505,2024-06-09,2529,UPI
20,1333,2024-08-31,19282,UPI
21,2944,2024-09-07,16073,UPI
22,2380,2024-03-04,3226,UPI
23,696,2024-10-25,1211,UPI
24,27,2024-09-04,5824,Card
25,2366,2024-10-23,18284,UPI
26,2413,2024-04-24,15429,UPI
27,960,2024-10-21,13444,Card
28,1527,2024-01-01,16802,COD
29,1869,2024-02-10,11980,Card
30,373,2024-06-21,5785,COD
31,1950,2024-03-28,16562,UPI
32,245,2024-04-07,14305,Card
33,1841,2024-03-28,17395,COD
34,1677,2024-09-07,15037,COD
35,2526,2024-11-30,14593,Card
36,125,2024-05-20,5656,Card
37,537,2024-03-11,4721,Card
38,2754,2024-05-16,9975,Card
39,1920,2024-04-08,14299,Card
40,1636,2024-05-30,4237,UPI
41,1426,2024-06-23,9274,UPI
42,1541,2024-06-15,14186,Card
43,531,2024-12-08,17015,Card
44,2834,2024-09-13,12426,UPI
45,254,2024-08-11,9339,COD
46,2169,2024-11-25,12299,UPI
47,661,2024-03-05,10059,Card
48,1802,2024-03-09,11374,COD
49,1061,2024-03-07,2739,Card
50,1366,2024-02-19,10505,COD
51,1037,2024-11-09,13399,Card
52,1207,2024-11-04,590,UPI
53,2136,2024-03-31,282,Card
54,2094,2024-04-24,17586,UPI
55,1143,2024-02-26,9168,COD
56,2981,2024-12-07,12481,UPI
57,1555,2024-01-18,15320,COD
58,1756,2024-09-28,10146,Card
59,1966,2024-05-09,11091,UPI
60,745,2024-09-25,19840,COD
61,1630,2024-03-20,19828,COD
62,967,2024-10-25,6207,COD
63,763,2024-11-05,722,COD
64,2810,2024-07-20,1894,Card
65,794,2024-08-12,18836,Card
66,744,2024-06-07,5037,Card
67,1070,2024-07-22,12001,COD
68,1532,2024-05-16,8669,Card
69,558,2024-03-13,16731,COD
70,1995,2024-02-17,8348,COD
71,526,2024-01-18,13265,COD
72,2645,2024-09-23,12906,UPI
73,840,2024-12-05,3820,Card
74,3,2024-01-19,10831,Card
75,1052,2024-04-09,9331,UPI
76,1405,2024-04-25,14507,UPI
77,157,2024-12-11,3909,UPI
78,2903,2024-03-14,16186,UPI
79,1938,2024-10-06,14115,COD
80,1955,2024-09-25,5294,Card
81,511,2024-05-04,9615,Card
82,687,2024-04-25,16278,Card
83,1138,2024-06-22,15676,COD
84,1413,2024-06-29,13730,Card
85,1511,2024-08-13,7672,UPI
86,571,2024-06-05,3563,Card
87,715,2024-06-12,19607,Card
88,1339,2024-03-11,18401,COD
89,2287,2024-08-09,14340,UPI
90,2351,2024-05-05,17267,UPI
91,2655,2024-05-24,14515,UPI
92,991,2024-06-24,19494,Card
93,334,2024-05-31,14614,UPI
94,2161,2024-06-30,2217,UPI
95,1645,2024-12-12,4423,Card
96,362,2024-03-25,2384,COD
97,1881,2024-12-29,17941,Card
98,2849,2024-04-30,6731,COD
99,2145,2024-05-08,4866,COD
100,1982,2024-01-06,11455,UPI
101,2064,2024-11-29,2668,UPI
102,2604,2024-07-01,7491,Card
103,1978,2024-02-07,7455,COD
104,376,2024-04-25,4120,Card
105,742,2024-04-11,4436,UPI
106,390,2024-01-08,2139,COD
107,2668,2024-08-05,4056,UPI
108,1241,2024-07-25,250,UPI
109,824,2024-03-18,16126,UPI
110,2368,2024-02-24,1560,COD
111,2244,2024-10-30,7005,COD
112,418,2024-08-15,12128,UPI
113,607,2024-03-28,12194,COD
114,568,2024-01-10,3245,UPI
115,544,2024-11-03,11293,UPI
116,2279,2024-10-16,457,UPI
117,884,2024-06-12,11851,COD
118,2569,2024-08-26,244,Card
119,703,2024-11-12,17918,Card
120,1224,2024-05-23,17255,COD
121,2894,2024-11-30,15554,COD
122,2721,2024-01-18,13789,UPI
123,1623,2024-03-11,7200,UPI
124,2069,2024-06-23,14680,Card
